"timestamp","temperature","humidity","light","pH","electrical_conductivity"
"2025-03-01 00:00:00",20.5,67.57,10,6,2.3
"2025-03-01 00:05:00",20.58,66.66,6.3,5.985,2.301
"2025-03-01 00:10:00",20.42,68.05,13.7,6.015,2.288
"2025-03-01 00:15:00",20.46,67.86,10.9,6.004,2.305
"2025-03-01 00:20:00",20.54,69.01,11.6,6.02,2.307
"2025-03-01 00:25:00",20.49,69.41,13.3,5.995,2.288
"2025-03-01 00:30:00",20.28,69.06,15,6.004,2.307
"2025-03-01 00:35:00",20.21,68.33,15.2,6.013,2.26
"2025-03-01 00:40:00",20.35,67.14,16.7,5.96,2.25
"2025-03-01 00:45:00",20.32,67.88,18.1,6.027,2.235
"2025-03-01 00:50:00",20.47,67.71,16.3,6.026,2.254
"2025-03-01 00:55:00",20.5,67.32,17.8,6.017,2.243
"2025-03-01 01:00:00",20.6,68.05,16.5,6.049,2.23
"2025-03-01 01:05:00",20.6,67.55,14.2,6.031,2.22
"2025-03-01 01:10:00",20.51,67.29,16.7,6.066,2.223
"2025-03-01 01:15:00",20.45,67.31,17.8,6.024,2.197
"2025-03-01 01:20:00",20.42,67.47,19,6.029,2.216
"2025-03-01 01:25:00",20.35,67.47,17.4,6.024,2.174
"2025-03-01 01:30:00",20.4,67.75,19.4,6.011,2.158
"2025-03-01 01:35:00",20.3,68.35,16.1,5.977,2.133
"2025-03-01 01:40:00",20.4,67.96,15.6,6,2.174
"2025-03-01 01:45:00",20.36,68.25,16.9,5.987,2.182
"2025-03-01 01:50:00",20.35,68.06,16.9,5.954,2.173
"2025-03-01 01:55:00",20.36,68.43,17,5.949,2.202
"2025-03-01 02:00:00",20.45,68.84,15.2,5.951,2.192
"2025-03-01 02:05:00",20.48,68.57,12.7,5.986,2.154
"2025-03-01 02:10:00",20.54,68.7,13,5.994,2.155
"2025-03-01 02:15:00",20.51,68.87,13.7,5.99,2.176
"2025-03-01 02:20:00",20.69,68.4,12.9,5.966,2.174
"2025-03-01 02:25:00",20.71,69.05,10.9,5.957,2.134
"2025-03-01 02:30:00",20.75,69.67,13.5,5.877,2.14
"2025-03-01 02:35:00",20.67,69.69,13.7,5.862,2.132
"2025-03-01 02:40:00",20.55,69.73,14.5,5.873,2.161
"2025-03-01 02:45:00",20.63,70.23,11.6,5.955,2.155
"2025-03-01 02:50:00",20.67,70.73,11.1,5.972,2.159
"2025-03-01 02:55:00",20.66,70.23,11.4,5.906,2.11
"2025-03-01 03:00:00",20.52,69.89,16.4,5.921,2.088
